Year,Title,Theme,Label
1962,WAR?,Cuban Missile Crisis and Nuclear Threat,International / Cold War
1963,WHAT THE HELL IS GOING ON?,The Profumo Scandal and Government Crisis,UK Politics / Scandal
1963,KENNEDY DEAD,Assassination of President John F. Kennedy,International
1964,IT'S WILSON!,Labour Party General Election Victory,UK Politics / Election
1965,THE WORLD SAYS GOODBYE,State Funeral of Sir Winston Churchill,National / Mourning
1966,WILSON'S LANDSLIDE,Labour Party Decisive Election Victory,UK Politics / Election
1967,DEVALUATION,Devaluation of the British Pound (Sterling),Economic / Politics
1968,BATTLE OF GROSVENOR SQUARE,Anti-Vietnam War Protests in London,Social Unrest / Protests
1968,DR. KING IS SHOT DEAD,Assassination of Martin Luther King Jr.,Civil Rights / International
1969,TROOPS MOVE IN,Deployment of British Army to Northern Ireland,National / Civil Conflict
1969,MAN ON THE MOON,Apollo 11 Moon Landing and Space Race,Science / Cold War
